Currency_CreateTime,Currency_ExchangeRate,Currency_ID,Currency_IsDelete,Currency_Name,Currency_OrderNo,Currency_ShortName,Currency_UploadStatus,Currency_UploadTime
1982-11-09T13:32:18,1.0,MMK,false,Myanmar (Burma) Kyat,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,MKD,false,Macedonia Denar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,MGA,false,Madagascar Ariary,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,MDL,false,Moldova Leu,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,MAD,false,Morocco Dirham,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LYD,false,Libya Dinar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LSL,false,Lesotho Loti,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LRD,false,Liberia Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LKR,false,Sri Lanka Rupee,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LBP,false,Lebanon Pound,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,LAK,false,Laos Kip,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KZT,false,Kazakhstan Tenge,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KYD,false,Cayman Islands Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KWD,false,Kuwait Dinar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KRW,false,Korea (South) Won,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KPW,false,Korea (North) Won,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KMF,false,Comorian Franc,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KGS,false,Kyrgyzstan Som,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,KES,false,Kenya Shilling,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,110.067,JPY,false,Japan Yen,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,JOD,false,Jordan Dinar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,JMD,false,Jamaica Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,ISK,false,Iceland Krona,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,IQD,false,Iraq Dinar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,73.608662,INR,false,India Rupee,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,ILS,false,Israel Shekel,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,IDR,false,Indonesia Rupiah,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,HUF,false,Hungary Forint,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,HTG,false,Haiti Gourde,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,HRK,false,Croatia Kuna,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,HNL,false,Honduras Lempira,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,7.778821,HKD,false,Hong Kong Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GYD,false,Guyana Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GTQ,false,Guatemala Quetzal,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GNF,false,Guinea Franc,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GMD,false,Gambia Dalasi,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GIP,false,Gibraltar Pound,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GHS,false,Ghana Cedi,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,GEL,false,Georgia Lari,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,0.722257,GBP,false,United Kingdom Pound,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,FKP,false,Falkland Islands (Malvinas) Pound,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,1.0,FJD,false,Fiji Dollar,0,,false,1982-11-09T13:32:18
1982-11-09T13:32:18,0.846369,EUR,false,Euro Member Countries,0,,false,1982-11-09T13:32:18
